Time(Iteration),UCB1,egreedy_0.1,LinUCB,IMFB
0,16,20,11,19
1,34,33,29,24
2,21,17,28,33
3,26,19,39,20
4,64,25,16,32
5,35,31,14,14
6,19,29,17,17
7,45,22,20,15
8,16,41,24,44
9,24,21,48,15
10,44,26,25,17
11,29,14,16,17
12,28,40,39,17
13,25,27,14,19
14,21,21,13,14
15,22,22,34,32
16,15,44,34,17
17,16,27,37,21
18,24,29,31,30
19,27,20,61,35
20,53,23,20,20
21,19,39,18,27
22,31,23,15,25
23,15,40,27,19
24,15,28,14,23
25,12,19,21,17
26,18,16,16,10
27,28,32,22,12
28,30,42,12,10
29,13,21,27,39
30,35,39,16,22
31,33,42,12,24
32,18,14,18,47
33,25,37,47,29
34,19,14,20,25
35,12,33,32,49
36,19,12,19,16
37,31,16,20,23
38,18,23,36,23
39,20,32,26,16
40,15,12,37,36
41,47,32,35,34
42,13,44,28,26
43,50,21,17,19
44,46,52,26,20
45,30,21,59,22
46,20,24,52,15
47,45,21,21,22
48,20,14,19,34
49,27,22,19,20
50,21,13,27,14
51,20,26,19,37
52,40,44,22,21
53,23,20,37,16
54,21,55,35,23
55,38,16,49,14
56,11,29,18,23
57,16,35,33,22
58,23,18,18,26
59,13,20,33,73
60,29,43,19,22
61,33,26,15,18
62,23,31,15,29
63,13,15,39,35
64,22,47,20,21
65,21,17,35,13
66,25,11,18,11
67,17,10,25,19
68,28,51,40,25
69,19,30,31,23
70,22,33,63,21
71,24,38,13,35
72,22,16,28,17
73,18,12,16,18
74,29,26,17,32
75,30,20,17,26
76,21,30,14,21
77,15,17,22,24
78,22,18,21,22
79,20,28,27,12
80,26,36,46,31
81,15,12,15,22
82,14,23,28,37
83,19,61,19,22
84,26,27,20,21
85,28,47,14,15
86,19,14,13,19
87,15,20,21,40
88,15,25,35,33
89,28,46,39,17
90,39,18,28,33
91,26,20,18,19
92,28,27,15,35
93,28,11,28,27
94,12,19,19,18
95,38,25,27,46
96,29,30,17,19
97,22,18,17,31
98,22,16,28,27
99,15,13,33,24
100,20,30,27,38
101,24,19,33,30
102,26,17,35,30
103,27,15,26,17
104,19,29,28,51
105,19,42,18,12
106,12,14,20,32
107,26,24,18,59
108,23,22,29,54
109,21,31,33,14
110,21,13,30,20
111,29,25,20,22
112,19,19,28,45
113,23,13,21,45
114,34,27,19,44
115,26,16,11,27
116,21,15,15,28
117,32,22,19,15
118,34,56,22,33
119,34,21,15,40
120,13,33,39,24
121,25,19,31,45
122,23,27,21,17
123,19,26,20,17
124,17,36,25,23
125,24,31,14,20
126,22,19,28,17
127,35,21,39,16
128,43,41,17,29
129,29,14,34,17
130,60,15,22,23
131,18,31,35,39
132,22,25,20,19
133,44,28,32,20
134,16,16,24,32
135,19,31,24,22
136,21,46,17,16
137,22,32,15,32
138,25,17,41,20
139,31,25,40,42
140,29,38,30,17
141,20,13,46,20
142,51,31,11,14
143,33,13,20,44
144,36,44,30,15
145,28,31,27,14
146,30,13,43,25
147,16,43,28,20
148,19,27,26,23
149,20,26,13,30
150,30,33,18,16
151,17,20,26,26
152,21,37,40,18
153,35,32,32,22
154,13,41,33,47
155,20,18,34,35
156,19,27,26,12
157,19,21,17,17
158,21,30,30,17
159,21,18,46,31
160,14,27,19,13
161,14,26,45,25
162,23,25,14,25
163,18,38,35,25
164,24,23,24,19
165,22,17,20,29
166,17,19,19,45
167,26,29,41,25
168,16,16,20,18
169,15,38,11,17
170,21,34,36,48
171,36,22,24,29
172,20,16,20,35
173,33,40,39,39
174,43,48,23,14
175,45,30,44,31
176,23,36,19,26
177,26,27,25,35
178,16,15,18,21
179,37,55,15,21
180,23,38,19,14
181,51,26,15,29
182,13,22,20,21
183,22,21,34,22
184,28,15,23,12
185,40,14,24,25
186,15,17,23,40
187,50,24,18,19
188,25,23,25,57
189,29,22,22,56
190,16,24,26,31
191,38,50,22,13
192,21,23,13,16
193,17,25,18,22
194,16,13,24,28
195,37,33,22,18
196,21,18,14,35
197,14,40,31,48
198,27,12,40,17
199,26,22,29,42
