Time(Iteration),UCB1,egreedy_0.1,OurAlgorithm
0,495,498,619
1,502,489,662
2,513,493,755
3,522,506,633
4,548,530,542
5,575,514,582
6,598,540,509
7,591,532,504
8,582,529,550
9,575,568,543
10,585,571,521
11,542,524,539
12,544,538,547
13,547,551,552
14,550,554,551
15,574,516,540
16,562,577,568
17,577,572,550
18,569,543,575
19,536,561,566
20,583,554,551
21,568,556,589
22,551,505,547
23,573,581,563
24,580,548,577
25,562,579,573
26,585,540,555
27,600,563,574
28,590,587,572
29,594,562,597
30,576,572,590
31,598,551,610
32,585,554,567
33,565,544,609
34,607,570,590
35,590,556,588
36,573,585,600
37,580,544,582
38,572,599,580
39,581,570,593
40,574,589,583
41,598,556,580
42,592,538,577
43,610,557,585
44,568,594,593
45,582,575,608
46,555,534,571
47,601,597,622
48,586,582,598
49,569,590,572
50,570,567,602
51,567,562,592
52,615,550,619
53,580,579,595
54,565,541,660
55,547,586,593
56,589,580,594
57,580,576,594
58,596,549,618
59,571,542,610
60,575,553,605
61,583,541,613
62,570,574,597
63,584,581,625
64,587,592,606
65,571,594,610
66,608,568,598
67,586,536,603
68,552,574,596
69,587,573,610
70,582,566,587
71,598,573,633
72,588,558,602
73,588,573,610
74,581,584,640
75,590,555,615
76,595,586,633
77,573,591,599
78,597,581,625
79,601,583,638
80,591,603,620
81,604,562,633
82,577,572,604
83,600,568,603
84,611,583,594
85,599,574,625
86,593,573,625
87,583,575,597
88,589,551,609
89,586,571,633
90,622,551,614
91,579,572,634
92,622,561,597
93,589,586,623
94,604,575,614
95,600,569,612
96,574,570,615
97,623,605,600
98,584,558,604
99,585,594,607
100,596,584,626
101,560,547,615
102,607,557,622
103,603,551,599
104,588,582,619
105,611,568,617
106,595,579,632
107,599,582,671
108,586,570,629
109,614,543,644
110,593,572,628
111,562,589,589
112,613,570,601
113,591,604,601
114,589,595,628
115,601,579,606
116,591,586,654
117,600,552,583
118,596,558,638
119,574,565,621
120,574,560,594
121,600,565,582
122,608,584,614
123,594,585,620
124,594,543,627
125,590,549,625
126,575,576,613
127,604,619,616
128,595,560,609
129,572,563,630
130,614,575,610
131,594,581,602
132,600,574,585
133,586,555,593
134,574,570,623
135,569,568,623
136,583,566,625
137,573,596,628
138,608,598,605
139,602,544,602
140,607,581,625
141,580,577,600
142,602,575,602
143,590,581,626
144,590,593,625
145,604,558,643
146,611,567,632
147,594,584,598
148,594,573,625
149,588,561,611
150,606,559,604
151,584,602,625
152,585,575,609
153,606,604,628
154,589,578,602
155,578,570,621
156,592,594,633
157,579,568,595
158,612,575,628
159,580,561,636
160,605,602,636
161,647,561,580
162,572,564,634
163,598,566,577
164,593,571,629
165,584,588,612
166,601,563,636
167,576,549,604
168,593,557,641
169,596,576,609
170,581,576,602
171,605,544,615
172,588,589,640
173,623,556,615
174,568,539,608
175,612,560,617
176,601,577,618
177,598,579,641
178,567,538,577
179,597,590,631
180,626,563,630
181,585,570,604
182,568,579,615
183,592,561,658
184,605,569,616
185,597,597,636
186,583,576,601
187,605,578,619
188,586,586,599
189,602,581,620
190,576,569,588
191,604,596,617
192,572,562,618
193,600,582,618
194,548,548,616
195,591,548,608
196,591,577,637
197,589,557,592
198,604,579,609
199,599,571,651
