Time(Iteration),UCB1,egreedy_0.1,IMFB
0,194.7228387268257,228.618388265001,332.2068326799123
1,207.11835504020198,249.9689763439431,273.06482988902917
2,243.1833427470264,246.5154661439298,259.9666838328128
3,255.87019901654594,270.8488936141936,263.2859741511064
4,286.76796631005385,244.30584258090238,287.39060734932553
5,311.2669031164861,299.8033424147784,312.84478204531865
6,308.1140358163333,279.29305103329125,268.6445361818061
7,287.3771180809356,293.39060734932553,288.2333128447073
8,323.7952023390259,288.8527476908764,302.8368994617582
9,250.63421157551994,268.66158050368796,285.91535982457304
10,305.0229998671008,243.60200013289918,305.92752010100344
11,281.45765499368724,317.6230397368596,276.02456143265334
12,330.5462240015948,292.13012492524416,284.3234932553658
13,304.99323044720575,304.2026048242409,306.70051996810423
14,305.7697189182005,317.6375257492192,286.55492889893014
15,310.56377500166127,286.0964183666689,317.85521463220147
16,271.7434131836002,301.88206026978537,303.4313326466875
17,282.0045933284604,265.0093195561167,264.2646770549538
18,288.80864177021726,262.88478470330256,306.5447288856402
19,286.5314389660443,297.26284969100936,297.49436009037146
20,304.9809704963785,291.3474068044389,308.94087647019734
21,285.5162801515051,294.9584191640641,284.4500132899196
22,282.0407751345604,291.91442953020135,282.005789421224
23,297.220986444282,291.91442953020135,273.87575586417705
24,312.85415143863383,283.6125074755798,320.02126387135354
25,289.5740663831484,273.085130241212,305.0055900724301
26,308.93923184264736,288.32165758522154,314.48442587547345
27,309.7579656455579,322.4048524818925,288.16158050368796
28,281.2686889494318,310.49963452721113,306.5447288856402
29,298.0639909628547,287.28322479899,285.0209731543624
30,294.2424496644295,306.58974848827165,298.84670908366
31,300.02435377765966,281.2520765499369,313.7638381287793
32,308.11254070037876,272.35274769087647,305.8616685494053
33,259.942894876736,291.2259037145325,318.40602365605685
34,292.6213120473121,285.0314389660443,307.7197986577181
35,339.6174662768291,289.0059970762177,291.1656671539637
36,315.2395840255167,307.3855405674796,294.1445361818061
37,315.2476078144727,293.4959299621238,296.1907851020001
38,291.93999601302414,304.9810701707755,287.3114824905309
39,266.45242208784634,305.0229998671008,329.67388198551396
40,305.76438633796266,295.7034437504153,310.4865605688085
41,292.6143348395242,299.5490231909097,285.14473553060003
42,276.9936374509934,291.8488936141937,309.7353395574457
43,331.3075453518506,308.7958086916074,328.89990198684296
44,275.52277559970764,321.703518506213,307.32912485879456
45,320.0698551398764,295.7085603694598,302.78546747292177
46,327.29587514120533,298.0093195561167,277.5309405940594
47,313.65029237823114,322.4048524818925,296.6609907635059
48,320.80125755864174,305.779802644694,298.79305103329125
49,316.87274901986837,297.44874244135826,289.83245564489334
50,296.8616685494053,293.4416406405741,324.8452721111038
51,299.6609907635059,318.4023190909695,284.3234932553658
52,285.7817795202339,286.5411073825503,287.33884311249915
53,302.6530998737458,285.8824506611735,297.336808093561
54,289.7501245929962,306.6886587148648,304.2352481892484
55,292.6148332115091,303.87019901654594,283.6125074755798
56,277.5209731543624,307.3435444215563,301.88435278091566
57,307.946906771214,311.30747059605295,306.8602980264469
58,299.53900591401424,272.0361568875008,312.9047860322945
59,298.76796631005385,298.98445910027243,283.5413399561433
60,325.6330404013556,306.58346900126253,323.2093826832347
61,294.2424496644295,311.30747059605295,329.1924795667486
62,316.048782311117,272.3771180809356,282.0407751345604
63,302.6429829224533,304.20933284603626,313.7059605289388
64,284.3181938999269,279.7520765499369,282.1203153033424
65,288.32165758522154,317.60450029902324,308.91052561632006
66,312.06674862117086,293.3824506611735,292.74341318360024
67,304.2717954681374,262.81418200544886,291.14177852348996
68,308.1196840321617,272.33884311249915,296.4500132899196
69,321.62078875672796,311.5474865439564,315.21810419296963
70,285.7817795202339,286.52456143265334,293.70059472390193
71,297.24570569473053,311.3854159744833,319.3267077546681
72,327.2890640574125,298.85793906571865,295.68633297893547
73,298.76554089972757,289.88206026978537,301.8720596052894
74,311.30747059605295,309.9809372715795,262.86651106385807
75,320.02998538108847,300.389768423151,300.52432885906035
76,289.565527609808,286.54539338162004,293.40396371851955
77,258.9156505415642,290.61349591334977,295.7730497042993
78,315.22454980397373,303.73384444149116,300.48445910027243
79,280.51250083061996,275.56957272908494,294.19370888431126
80,290.3220479766097,286.53429629875745,282.87859658449065
81,309.69237989235165,281.85012293175623,307.37457638381284
82,301.65361485813014,295.1085121935012,294.1755681440627
83,304.21722373579644,279.7520765499369,283.5609093627483
84,280.7336450926972,276.76837331384144,320.056149910293
85,278.45001328991964,317.60450029902324,302.9256761246595
86,306.63682802844045,258.62968469665753,281.2686889494318
87,296.01416207056945,311.3694680709682,301.0885108645093
88,328.95216459565415,292.18061000730944,294.96971559572063
89,297.2336450926972,289.10102000132895,285.8536945976477
90,291.1001810751545,308.94087647019734,300.3474068044389
91,290.3527476908764,280.6471609409263,327.3375390391388
92,306.7661721709083,284.26197754003584,284.4500132899196
93,288.0407751345604,313.3352797528075,298.0416140607349
94,294.21600272443345,287.29234500631264,287.3191906438966
95,291.1064605621636,304.2777759319556,301.11349591334977
96,295.7193252043325,289.0093195561167,272.32475579772745
97,320.92056781181475,288.05492889893014,306.5481842647352
98,312.0514652136355,277.56482988902917,289.6015100671141
99,273.06552760980793,312.9882799521563,316.1394860123596
100,318.48684297959994,311.2637135357831,285.2193252043325
101,273.38206026978537,305.76201076483494,286.59503123131105
102,329.72491527676254,291.93999601302414,334.6045750548209
103,312.866876536647,284.70160808027106,317.6230397368596
104,285.0639992690544,287.3191906438966,283.9239235165127
105,294.94989700312317,309.6932437371254,293.46670875141206
106,297.5441308392584,319.489442820121,282.75335570469804
107,291.1064605621636,321.7039836533989,304.9937288191906
108,307.32814472722436,257.7637882915808,305.7697189182005
109,288.04436341285134,296.62120406671534,298.98445910027243
110,311.2637135357831,282.06552760980793,293.4416406405741
111,309.68679812612135,314.5453269320221,316.0193783640109
112,305.16696292112437,285.48097049637846,285.83256362549
113,249.23400225928634,285.82909163399563,327.40262642036015
114,320.02998538108847,281.32475579772745,305.00628779320886
115,325.62669446474854,312.07073559704963,297.40727789221876
116,271.8027526745963,316.02236859592,273.9315735264802
117,308.95981460562166,294.9274536514054,294.1648697587879
118,294.14606452255964,276.12131204731213,304.2494517908167
119,287.2979101601436,288.8527476908764,302.72473254036817
120,294.9227191175494,321.85362814804967,288.96670875141206
121,277.0462655325935,320.95422453319156,329.77236028972015
122,319.6805186391122,309.7579656455579,276.0342962987574
123,319.24826400425275,273.24570569473053,278.26197754003584
