Time(Iteration),UCB1,egreedy_0.1,IMFB
0,399.8037000777637,405.1896906601015,435.2596825498015
1,424.13388931641254,419.6223737021875,415.0254537442215
2,415.92111081260344,432.6354322466138,426.0366459583334
3,439.0125964647591,425.1622745065897,405.94553485734116
4,431.5810030260577,429.8342990813554,427.9484878565585
5,434.35084014714903,437.2223421818073,433.6541303081863
6,439.0419185134928,430.60004867191947,456.97638076214554
7,441.0097836123367,421.5972996697696,434.4080564675216
8,448.59590907964036,426.9331005985837,433.41659980602066
9,434.39965140382054,422.41824949063977,432.544397948089
10,439.97936998703256,443.8867560266916,426.0300650291247
11,432.5585180665409,436.4598553300558,425.08640196630506
12,440.97744076774126,422.286042998251,434.3480867938714
13,438.19544831543044,444.7451745232353,434.5747117504233
14,447.6393455296461,435.5502483431562,436.35951487959267
15,446.67574094396207,425.0896692586234,440.9429703227778
16,445.6737823798545,440.2512198589526,434.49636999563364
17,437.3787502548698,432.5461169471879,429.76949054869243
18,432.7722089411631,416.01681235356045,441.0652148571793
19,439.95482294703925,437.34686579654226,442.88516872510434
20,435.25917275951065,434.5003013915008,439.1574637275303
21,439.1284777275374,434.4693241939409,445.6518221360091
22,449.5994551983077,439.05329792729464,442.7994059698487
23,438.08853816774,446.570758244755,426.95165906990087
24,440.07973482405,440.89046445254974,433.711633094679
25,448.6755964460392,431.69751307741626,436.33650692461777
26,439.11869689789876,434.5472259788646,436.5701968986577
27,450.35086498905383,449.39601669416476,418.70253822541775
28,443.7684362096818,434.4378831459059,435.3661558644856
29,432.5673007676705,426.15158282397306,437.3905268355814
30,445.6124104287429,426.91393711810633,443.7229867558749
31,443.7253246270299,436.64908021709095,433.67132839429723
32,445.6394506650396,438.1306618419741,428.84545228709953
33,444.722502617001,440.06378581522176,435.2846250364913
34,446.78270370994363,434.3491946112799,428.86668255334297
35,445.5935836041404,447.55580053417674,434.46151887757094
36,443.70444639739253,422.3485423974411,435.3338937687294
37,433.40571429583326,427.8240758533144,439.9491946112798
38,447.48140606193067,444.6856677893589,442.75903155023093
39,441.02065080731126,445.6451760410706,447.5961898285807
40,444.81775406919,447.50331530650914,437.1850581760982
41,451.28281957137347,435.56091002322796,436.3778358602761
42,454.1388458582574,435.4444493521119,432.5395888386485
43,436.53131865991327,428.06751377056094,441.84972954704244
44,437.3850975386276,420.53502475842384,440.9485714386903
45,430.75811533423496,441.85264925507164,439.0777936644542
46,442.81982621797425,438.22259196690715,438.0630304391756
47,438.0957412070535,449.3755550597293,438.1254474705022
48,445.71422823892135,432.59466683261667,423.5177920150731
49,441.84290363921247,433.3952867671575,439.9296971058422
50,444.65744424864357,430.76946975434845,429.81448191979854
51,442.82164276329013,428.90178350710016,435.3547951706527
52,442.8222271298897,439.9801991298756,456.15469985059445
53,438.0511435624303,445.68962048551504,426.9160395224081
54,436.2344009281057,439.97559644603916,436.2094566200135
55,452.29660571545946,439.0754996081455,434.3196962912706
56,434.4016379466926,428.09545094634495,437.27144445810495
57,447.5357546854312,441.8763727176183,432.6694829595158
58,440.0440937232956,435.35641783780306,450.3380374591639
59,462.7777663434183,448.46414589635515,439.07306651812115
60,436.1958313158772,434.46667992242845,447.48916928366765
61,441.9461822141069,441.870177116204,446.5421522095382
62,437.43111112122995,431.7700374753541,440.96668255334305
63,450.4047041258305,439.9707930031839,430.6558884168421
64,433.4963520345823,436.4049977257767,450.3242632047878
65,428.7519075901379,428.1102114901145,439.94006655201946
66,442.860317612101,434.38694408648826,423.40370007776374
67,428.7849073538616,431.66439593442743,438.09542033666594
68,435.28678188048667,439.1096090106799,438.1238254104859
69,429.81494698454185,437.1369020171525,443.7333215954068
70,434.41760102079485,434.49948945079143,444.65818535703784
71,435.8768581719495,426.0047608928716,439.9597380013853
72,446.70192228784333,415.94695995292693,441.86935151497664
73,447.5260506582599,426.25267470411063,426.91428470239555
74,452.26824212913846,431.570608282625,446.66245098024336
75,444.70980420430266,421.519426824906,436.24798879230394
76,434.55075221388927,437.4479890452765,433.40356868381923
77,442.77854231143044,440.1872898493751,426.97957793047203
78,436.3853284013804,431.611480855796,445.7109225959639
79,439.10257394514235,430.78444785451444,442.77669358800586
80,444.66420114556087,434.3867907851205,437.45390718639374
81,445.6114125026119,422.48774317619177,435.4144819197986
82,442.95449767492926,424.3215740053498,430.7582823973096
83,448.4695539436144,419.70048535314214,431.7388012338989
84,442.80393913682724,440.2651386112515,427.15204368937196
85,437.1440937232956,438.98652764306985,432.49747406904834
86,442.83601818164334,437.19243323674834,429.13470778381367
87,440.9035245148113,440.17797398329066,434.3387293390991
88,451.33478175298853,439.03880432016405,441.98770695052207
89,450.51920253943973,447.49768767907295,451.4939753574376
90,443.72365905573434,431.6896073815367,440.8826803858742
91,440.1047587679023,429.82819991307866,439.0104755428664
92,451.3090511050094,435.3971075624121,436.3661561174581
93,447.4713128617823,445.59535127515875,440.2414665527278
94,441.88911332613884,426.9112615791862,441.8654734457239
95,429.71157885736346,438.1458132789341,436.61500279028724
96,419.55142734704145,436.3680418760647,427.0794502805212
97,442.87471175042344,440.93445901060403,427.278375956679
98,448.4342020410837,422.35936385497797,434.62481003026045
99,441.0685748386414,435.480365585816,436.1993644317554
100,434.46205436987316,431.70341958179586,440.9793619425054
101,456.06587855597195,414.16706469368313,437.1663159455178
102,438.4679535886433,430.6587808038355,436.2598277054529
103,445.66268336083147,440.13416025001777,440.9685889545099
104,435.2929946840347,425.98200358310334,436.2351028763485
105,442.9185742568045,436.19585398221807,439.9279365180554
106,446.5500610422772,442.92170514632187,443.7232088657772
107,441.8621730645955,441.85894715858694,443.7683120507523
108,446.68965342254154,442.7829236948766,437.19472101933775
109,452.20563061251227,433.43267722371723,431.5663159455178
110,442.823319768945,426.0047608928716,437.2129638820966
111,435.28797540499636,439.0255375287313,433.42281544286135
112,447.4633415954168,439.93685784814465,436.22810980425487
113,443.8578138415451,445.58649288464096,447.63574755160516
114,441.83573399227623,438.2392966553487,444.63745982163414
115,446.60885348285024,431.5779273857462,445.64193040320276
116,439.0260127123767,421.42091708622155,428.9767124597584
117,446.5983455089023,434.65833708997565,434.62352047736925
118,447.4761786370749,450.43132877881555,439.93742491142166
119,441.80464619511565,429.7133167788094,445.6937914969853
120,447.52610590746565,418.93416525887443,425.14544495089547
121,432.5179583698246,440.9034195817958,429.91265267526063
122,443.82911764691005,443.74997285604496,441.9271345950592
123,445.635423746736,440.1849073538616,451.26531123972234
124,460.91148419503367,438.0723803047712,436.2707377033837
125,442.7656025629155,437.1825555692161,444.6438090279833
126,453.2042892002475,423.2066155358541,428.8312982703255
127,443.82625318808664,438.1713348703946,434.3930037910467
128,443.76608720773453,427.02927742437515,431.6094773131683
129,446.68208681107353,433.4552069593761,433.45520695937614
130,452.21492027064016,435.46375186630496,439.1814201272047
131,453.2341648541183,440.91187564476377,450.322952301013
