Time(Iteration),UCB1,egreedy_0.1,IMFB
0,1077.0,1083.0,1351.0
1,1014.9999999999999,1099.0,1444.0
2,1127.0,1071.0,1535.0
3,1071.0,1067.0,1400.0
4,1122.0,1107.0,1322.0
5,1129.0,1123.0,1299.0
6,1159.0,1135.0,1340.0
7,1152.0,1123.0,1340.0
8,22.0,1178.0,1348.0
9,1157.0,24.0,1370.0
10,1165.0,22.0,1388.0
11,1183.0,1171.0,1392.0
12,1222.0,1123.0,1365.0
13,25.0,1144.0,1334.0
14,1263.0,25.0,1362.0
15,1173.0,1160.0,1404.0
16,1258.0,25.0,1386.0
17,1199.0,1174.0,1409.0
18,1231.0,23.0,1426.0
19,1196.0,23.0,1424.0
20,1234.0,1127.0,1432.0
21,1187.0,1230.0,1402.0
22,1200.0,1136.0,1398.0
23,1168.0,1180.0,1389.0
24,1218.0,1176.0,1425.0
25,1165.0,1176.0,1398.0
26,1222.0,1193.0,1386.0
27,1208.0,25.0,1435.0
28,1248.0,1217.0,1414.0
29,1169.0,22.0,29.0
30,1206.0,1202.0,1399.0
31,1208.0,1204.0,1423.0
32,1251.0,1202.0,1401.0
33,1205.0,23.0,1397.0
34,1212.0,1242.0,1362.0
35,1176.0,1184.0,1464.0
36,1211.0,1238.0,1443.0
37,1207.0,1202.0,1356.0
38,1197.0,1139.0,1398.0
39,1194.0,1205.0,1414.0
40,1233.0,1212.0,1471.0
41,1148.0,1190.0,1407.0
42,1213.0,1202.0,1396.0
43,1214.0,1190.0,1463.0
44,1190.0,1195.0,1431.0
45,1207.0,1171.0,1363.0
46,1186.0,1200.0,1433.0
47,1194.0,1186.0,1366.0
48,1243.0,1170.0,1375.0
49,1178.0,1213.0,1346.0
50,1220.0,1194.0,1413.0
51,1197.0,1227.0,1428.0
52,1186.0,1215.0,1464.0
53,1217.0,1168.0,30.0
54,1233.0,1174.0,1441.0
55,1227.0,1216.0,1400.0
56,1217.0,1192.0,1394.0
57,1162.0,1240.0,1389.0
58,1214.0,1121.0,1380.0
59,1195.0,1223.0,1410.0
60,1211.0,1135.0,1391.0
61,1201.0,25.0,29.0
62,1183.0,1210.0,1347.0
63,1213.0,1186.0,28.0
64,1203.0,1230.0,1424.0
65,1258.0,1227.0,1439.0
66,1224.0,1230.0,1366.0
67,1214.0,1214.0,1477.0
68,1266.0,1192.0,1414.0
69,1202.0,22.0,1403.0
70,1177.0,1173.0,1454.0
71,1171.0,1185.0,1425.0
72,1219.0,1176.0,1420.0
73,1227.0,1210.0,1412.0
74,1245.0,1246.0,1427.0
75,1178.0,1218.0,1400.0
76,1223.0,1171.0,1427.0
77,24.0,25.0,1475.0
78,1155.0,1196.0,1393.0
79,1262.0,1195.0,1479.0
80,1210.0,1215.0,1431.0
81,1262.0,1212.0,1397.0
82,1203.0,1198.0,1389.0
83,24.0,1159.0,1420.0
84,1231.0,1223.0,28.0
85,1203.0,1214.0,1351.0
