Time(Iteration),UCB1,egreedy_0.1,IMFB
0,-13742.529309885711,-15643.532295973057,-7611.231504049996
1,-8442.067989145287,-17942.151281995302,-12568.454585999043
2,-7268.391537688614,-8678.885557567055,-14343.216666025299
3,-5495.482621333306,-9722.652537739279,-7820.788083793836
4,-9771.69264582512,-13572.758851179777,-16496.110983765295
5,-8706.098622929037,-6759.9071313527575,-11481.468119659901
6,-4817.119591225273,-7080.696166460268,-13911.639554709542
7,-5824.648043207997,-10337.462411367633,-5519.024913531552
8,-6162.025015617187,-7009.435437932103,-11657.389605955228
9,-5601.025390041291,-6161.1163143628655,-6156.206241148539
10,-7917.912644337791,-6249.086862352472,-7986.134029822406
11,-6216.533589352004,-13233.78843219961,-7611.231504049996
12,-6356.96652389454,-11656.377292361134,-10180.387305436056
13,-7944.966181301636,-6758.425002942953,-6499.046207509922
14,-8866.103761003455,-9594.616373283534,-4872.349016936563
15,-5609.628469511965,-5824.648043207997,-6949.722202184812
16,-5345.5978357282165,-9736.775055228047,-6649.284129567859
17,-7182.975613485941,-9347.639569441313,-7036.38859148851
18,-7658.344503700079,-7268.391537688614,-5286.7179476425
19,-6882.537540868988,-9859.586347521954,-5801.785672787291
20,-9478.493668708104,-9310.899011930016,-7227.513854886518
21,-6949.550266340959,-8141.617404603998,-10843.000259563098
22,-5839.114493747722,-13434.54871494561,-9949.407343863353
23,-4889.148749499497,-7342.113610215617,-5136.379650720312
24,-3584.0064841653834,-9503.521643926917,-11101.31558057154
25,-8927.412441340904,-5152.931257345632,-7376.6094815935085
26,-6971.546387580009,-6516.971661968957,-6882.537540868988
27,-4461.204497465003,-5479.219617081695,-6910.773254997448
28,-5943.060685389717,-8158.134180423269,-4846.94886577503
29,-5769.633607586382,-6903.360662801855,-8123.947535976084
30,-5446.723085716917,-7153.6259640582675,-7639.240902374044
31,-3969.069743916929,-7986.134029822406,-10324.089191930343
32,-5469.195534969429,-6789.717064110395,-7365.810441772906
33,-4437.745268163965,-9070.771103711062,-6080.061972834919
34,-6499.046207509922,-8678.885557567055,-5996.726146711969
35,-7923.187253230082,-5479.219617081695,-4340.546406648038
36,-5801.785672787291,-9397.010797758132,-6064.233733009192
37,-7549.300794012472,-5604.334738681164,-6080.061972834919
38,-4920.744696426496,-6867.255005101504,-5783.0555473153
39,-5609.628469511965,-7647.408083113853,-8339.699151426592
40,-5524.9440111719005,-4600.331973893568,-5444.329600606747
41,-5943.060685389717,-4505.117420743673,-11538.673657906664
42,-5409.95427268631,-8170.48424544465,-7176.150100179232
43,-6525.686430326647,-5688.7761968255345,-8123.947535976084
44,-4510.434377960982,-21896.73807176175,-7361.2773138284865
45,-7150.31054908696,-12789.962695034175,-5629.557914003883
46,-4352.133856619763,-6684.05782369768,-9191.871991106547
47,-4978.366239535326,-9070.771103711062,-6680.936083249942
48,-5824.648043207997,-6386.020672135146,-6679.812500506432
49,-6162.025015617187,-10001.855920749722,-4510.434377960982
50,-6567.933288636066,-8592.121463435034,-7365.810441772906
51,-3840.7503600150103,-5927.299923226517,-7549.300794012472
52,-7961.027841499998,-7182.975613485941,-7861.024677848372
53,-4995.946716177777,-18096.381271841634,-8556.698076191939
54,-6316.211379222957,-8678.885557567055,-7211.310612688289
55,-6156.206241148539,-8496.860127131822,-8428.239082205555
56,-4992.926119271215,-6492.216143330295,-9156.70672958215
57,-6882.537540868988,-6499.046207509922,-9156.70672958215
58,-5296.3847887947295,-6909.363069999762,-4510.434377960982
59,-5444.329600606747,-9160.560715007829,-8320.071263879678
60,-5609.628469511965,-8496.860127131822,-6194.832014007076
61,-5296.3847887947295,-7059.070791995646,-8992.7955466175
62,-5769.633607586382,-6909.363069999762,-11047.15153969904
63,-8236.50026651181,-10001.855920749722,-6234.536213003146
64,-6576.39957250772,-7914.823909849678,-10843.000259563098
65,-7329.1790818253885,-9281.737868452588,-5136.379650720312
66,-4107.878066561584,-6517.477523855755,-8182.811616974327
67,-5205.499363871975,-11538.673657906664,-5952.468435873347
68,-7153.6259640582675,-9216.511794717871,-11979.176545081184
69,-5688.7761968255345,-8592.121463435034,-5479.219617081695
70,-6910.773254997448,-10001.855920749722,-4600.639707459719
71,-7182.975613485941,-12485.497225641642,-4600.331973893568
72,-8901.786892635775,-5787.1695669681285,-7428.2741376325175
73,-7036.38859148851,-8758.821536562857,-10841.219174643367
74,-7268.391537688614,-7132.557030471777,-9156.70672958215
75,-5469.195534969429,-3944.842107177943,-8000.522527459023
76,-7002.723022375897,-3321.842227347003,-7002.723022375897
77,-4102.860952859995,-10746.087130291668,-5335.7660856325965
78,-6307.920944111915,-7549.300794012472,-7923.187253230082
79,-9931.697783899537,-6680.936083249942,-4852.493184728678
