Time(Iteration),UCB1,egreedy_0.1,IMFB
0,-1338.832140973443,-1459.3779978744178,-1210.82492762283
1,-1289.9268040261861,-1253.9468165761996,-1269.7384472621218
2,-1316.2633513584017,-1281.7279655743462,-1223.3720859727646
3,-1233.6169898093483,-1355.5404905913977,-1186.3761329995145
4,-1227.9597788152257,-1244.2154561780915,-1258.018371810444
5,-1237.5020531489874,-1311.6169139873164,-1217.0959351713811
6,-1260.558923894233,-1329.2979339731482,-1220.7168983251863
7,-1232.1910189852279,-1238.4385585759271,-1272.676229011947
8,-1259.095489908324,-1246.524391770001,-1307.5310733452593
9,-1302.8840907069807,-1245.2955799749502,-1263.8560483686172
10,-1209.0872366329234,-1269.472147983313,-1255.7277845939889
11,-1203.0265671828172,-1284.3993889539593,-1299.8364829406007
12,-1257.775292884486,-1266.3356564042697,-1278.360389836408
13,-1252.7438793581277,-1332.2674772677353,-1189.4437318369849
14,-1244.4623860073225,-1217.8091991589304,-1212.8907580363195
15,-1260.757328745027,-1184.622360049767,-1246.1510558949165
16,-1237.5040012772452,-1238.5308212695356,-1276.384628659
17,-1242.879815080066,-1252.591068450045,-1268.5225199696404
18,-1217.3884816925954,-1246.9192780186572,-1267.8738398018165
19,-1250.218806561086,-1250.4083947182996,-1209.422821500395
20,-1193.9919622626105,-1276.9224502442225,-1237.398472865186
21,-1231.412195990384,-1259.4686478455628,-1214.6081935799598
22,-1225.740580220813,-1243.4081136209677,-1240.446728298417
23,-1231.961729302427,-1218.0609051344845,-1246.7726762762215
24,-1226.369214519141,-1213.5675875977677,-1206.650019806972
25,-1256.7753228491188,-1261.1026472032158,-1230.9011425073372
26,-1228.8056250021536,-1269.2375086385591,-1212.8323309548307
27,-1226.2255549682875,-1194.9184387125135,-1248.9552591578267
28,-1220.6617793644853,-1231.6768580803061,-1226.980987098132
29,-1249.6580932111392,-1196.6143286125707,-1214.679412614834
30,-1251.7429608441719,-1218.547591861089,-1253.277585663764
31,-1193.5631479391125,-1229.8066162521443,-1213.3708000672082
32,-1224.1713148962108,-1219.5524951750758,-1206.4813676649726
33,-1212.0858051381642,-1296.433646812957,-1256.2793930522344
34,-1259.6747936894271,-1211.0753095721047,-1202.1116949475522
35,-1157.6044290313243,-1250.6728721336679,-1248.915192072688
36,-1285.7502418508866,-1303.9295080068082,-1251.9109364971314
37,-1264.1160927442309,-1219.0334687838629,-1245.0319615611013
38,-1282.8796013708563,-1264.0757347103308,-1229.1044672470978
39,-1244.8262435367699,-1255.915156570688,-1201.9535520696102
40,-1240.7985136285029,-1269.5932410080861,-1253.5645209391469
41,-1252.8497366569823,-1270.3913220423756,-1255.034509376613
42,-1204.412615699309,-1304.9694843357827,-1237.630191823606
43,-1213.6768234149138,-1208.8002971472636,-1251.1777273262328
44,-1269.864036108158,-1257.1592834132161,-1219.7178851416022
45,-1216.0780808185336,-1260.0680473372781,-1224.5785178728713
46,-1242.3177363887971,-1245.3332435877392,-1220.1388136200085
47,-1280.3393568472752,-1233.2008223893188,-1239.6538030230597
48,-1187.2469694184208,-1246.459586183665,-1256.5296009973486
49,-1225.1898970779778,-1205.153793036239,-1217.6182568240401
50,-1226.4660651645354,-1251.3556265720433,-1267.3669453612383
51,-1258.4154642425876,-1254.0562653016239,-1232.0584152689416
52,-1216.9804840874265,-1261.928834731913,-1252.3074716163396
53,-1211.075286003453,-1207.180069931191,-1245.024883631231
54,-1219.3016479385753,-1251.2474683642308,-1236.509831739142
55,-1207.4366984114529,-1314.3467529899017,-1255.1907247831884
56,-1221.5781887353114,-1235.6561419165191,-1239.9953225675672
57,-1254.5232258985886,-1276.467542628177,-1218.766665394518
58,-1237.766107658376,-1269.5986557918334,-1191.3575313407127
