Time(Iteration),UCB1,egreedy_0.1,LinUCB,IMFB
0,39.0,0,0,0
1,0,0,0,0
2,43.0,46.0,43.0,48.0
3,40.0,43.0,0,42.0
4,40.0,41.0,0,0
5,49.0,0,43.0,38.0
6,42.0,43.0,35.0,41.0
7,49.0,0,0,43.0
8,0,40.0,0,47.0
9,40.0,45.0,38.0,46.0
10,47.0,43.0,42.0,44.0
11,51.0,44.0,0,0
12,41.0,45.0,35.0,0
13,47.0,50.0,38.0,43.0
14,49.0,45.0,0,43.0
15,43.0,0,0,0
16,53.0,0,0,45.0
17,0,41.0,44.0,40.0
18,47.0,37.0,45.0,0
19,46.0,0,45.0,0
20,54.0,0,0,50.0
21,46.0,37.0,42.0,39.0
22,42.0,54.0,42.0,0
23,0,0,0,38.0
24,50.0,48.0,40.0,49.0
25,58.0,50.0,42.0,44.0
26,53.0,0,43.0,47.0
27,49.0,42.0,0,0
28,47.0,0,49.0,0
29,44.0,41.0,39.0,0
30,52.0,0,40.0,45.0
31,48.0,0,49.0,0
32,46.0,37.0,51.0,49.0
33,48.0,32.0,44.0,46.0
34,45.0,39.0,44.0,45.0
35,41.0,0,0,0
36,45.0,0,38.0,45.0
37,46.0,37.0,0,42.0
38,0,0,50.0,0
39,49.0,47.0,48.0,46.0
40,44.0,0,0,42.0
41,45.0,44.0,39.0,0
42,48.0,0,0,45.0
43,44.0,40.0,50.0,49.0
44,51.0,0,41.0,49.0
45,0,0,44.0,47.0
46,52.0,40.0,43.0,43.0
47,50.0,45.0,41.0,46.0
48,51.0,44.0,40.0,44.0
49,44.0,48.0,48.0,43.0
50,48.0,38.0,0,0
51,45.0,40.0,45.0,46.0
52,55.0,0,43.0,50.0
53,49.0,43.0,0,43.0
54,48.0,48.0,36.0,43.0
55,49.0,0,48.0,41.0
56,48.0,0,38.0,46.0
57,46.0,0,43.0,49.0
58,47.0,0,44.0,50.0
59,45.0,0,0,0
60,44.0,0,45.0,47.0
61,45.0,0,42.0,45.0
62,0,40.0,36.0,49.0
63,51.0,46.0,39.0,0
64,57.0,38.0,41.0,50.0
65,44.0,40.0,0,47.0
66,44.0,40.0,0,0
67,48.0,48.0,0,0
68,45.0,39.0,43.0,48.0
69,45.0,44.0,44.0,40.0
70,52.0,35.0,39.0,42.0
71,46.0,47.0,38.0,50.0
72,45.0,0,46.0,46.0
73,48.0,0,0,0
74,48.0,43.0,0,45.0
75,47.0,0,44.0,50.0
76,49.0,0,40.0,40.0
77,51.0,37.0,38.0,47.0
78,49.0,44.0,0,44.0
79,46.0,44.0,0,45.0
80,47.0,45.0,37.0,48.0
81,48.0,45.0,40.0,51.0
82,52.0,43.0,39.0,41.0
83,0,42.0,44.0,44.0
84,0,42.0,41.0,44.0
85,53.0,43.0,46.0,43.0
86,49.0,45.0,40.0,45.0
87,41.0,49.0,41.0,0
88,43.0,0,44.0,0
89,46.0,0,42.0,47.0
90,44.0,0,0,56.0
91,0,40.0,46.0,44.0
92,42.0,46.0,0,46.0
93,48.0,31.0,0,0
94,45.0,37.0,44.0,48.0
95,48.0,0,0,0
96,49.0,0,47.0,45.0
97,45.0,0,44.0,0
98,53.0,0,41.0,0
99,0,45.0,39.0,42.0
100,45.0,41.0,0,48.0
101,43.0,0,41.0,44.0
102,48.0,0,46.0,47.0
103,50.0,45.0,0,43.0
104,53.0,45.0,0,0
105,46.0,0,0,56.0
106,46.0,43.0,43.0,0
107,0,46.0,45.0,46.0
108,47.0,0,0,43.0
109,56.0,38.0,43.0,40.0
110,51.0,43.0,0,45.0
111,44.0,0,41.0,39.0
112,46.0,37.0,0,42.0
113,54.0,42.0,39.0,40.0
114,40.0,0,0,48.0
115,46.0,44.0,40.0,44.0
116,0,47.0,49.0,39.0
117,50.0,43.0,0,50.0
118,38.0,45.0,43.0,45.0
119,0,0,0,44.0
120,53.0,44.0,40.0,47.0
121,48.0,45.0,38.0,0
122,49.0,0,0,46.0
123,47.0,0,0,0
124,49.0,0,0,42.0
125,50.0,0,41.0,44.0
126,46.0,40.0,43.0,46.0
127,51.0,41.0,46.0,45.0
128,49.0,45.0,38.0,43.0
129,51.0,0,42.0,43.0
130,51.0,48.0,0,50.0
131,47.0,42.0,0,42.0
132,0,0,45.0,0
133,0,0,0,0
134,48.0,0,0,46.0
135,53.0,48.0,49.0,34.0
136,46.0,0,38.0,42.0
137,56.0,0,0,41.0
138,49.0,0,45.0,47.0
139,50.0,0,42.0,42.0
140,53.0,36.0,43.0,43.0
141,51.0,0,49.0,41.0
142,49.0,37.0,0,44.0
143,53.0,0,0,0
144,47.0,41.0,43.0,42.0
145,44.0,0,0,0
146,49.0,0,39.0,0
147,50.0,38.0,0,46.0
148,48.0,38.0,47.0,50.0
149,48.0,0,38.0,45.0
150,48.0,41.0,0,0
151,48.0,0,43.0,0
152,52.0,38.0,45.0,45.0
153,49.0,0,42.0,45.0
154,48.0,43.0,42.0,42.0
155,50.0,40.0,0,47.0
156,49.0,0,38.0,41.0
157,49.0,41.0,0,42.0
158,48.0,37.0,42.0,47.0
159,41.0,35.0,0,43.0
160,51.0,39.0,39.0,53.0
161,49.0,0,47.0,52.0
162,45.0,39.0,0,46.0
163,45.0,0,39.0,43.0
164,54.0,44.0,39.0,43.0
165,45.0,0,47.0,0
166,53.0,0,0,40.0
167,48.0,40.0,0,42.0
168,47.0,45.0,46.0,50.0
169,58.0,43.0,39.0,40.0
170,48.0,0,41.0,41.0
171,0,45.0,41.0,0
172,50.0,47.0,42.0,0
173,54.0,45.0,43.0,41.0
174,49.0,46.0,43.0,40.0
175,44.0,0,42.0,47.0
176,48.0,46.0,44.0,42.0
177,52.0,43.0,42.0,46.0
178,45.0,0,44.0,40.0
179,50.0,43.0,42.0,48.0
180,51.0,38.0,41.0,0
181,53.0,42.0,0,0
182,51.0,50.0,41.0,40.0
183,44.0,0,0,0
184,48.0,41.0,0,0
185,48.0,0,0,47.0
186,49.0,51.0,48.0,46.0
187,53.0,0,50.0,43.0
188,52.0,0,35.0,47.0
189,46.0,42.0,0,50.0
190,46.0,0,0,47.0
191,48.0,45.0,42.0,0
192,0,42.0,40.0,0
193,46.0,0,42.0,45.0
194,48.0,49.0,45.0,41.0
195,51.0,0,41.0,40.0
196,41.0,44.0,39.0,0
197,45.0,46.0,40.0,0
198,51.0,46.0,39.0,47.0
199,43.0,50.0,47.0,43.0
