Time(Iteration),UCB1,egreedy_0.1,LinUCB,IMFB
0,521.4295239801133,488.40102824086983,478.61572162983464,510.13179815484705
1,483.6885735413186,475.9736355536375,458.2344267231873,506.7779012641415
2,486.72373529448663,468.09758199666976,531.5809249460029,490.3681385141675
3,481.5788922765903,512.2749234363135,479.6531409404711,498.99016181242155
4,467.494365266033,486.8606904252168,505.97373503930794,496.4873038115817
5,490.4011172543784,473.13798813380674,495.99395921278386,485.81252007963843
6,498.4506845858295,467.3013995041865,496.5015637395967,486.7315960604566
7,483.08563669130103,486.1801281636193,480.0662963611992,463.8461207341144
8,476.34069383240376,513.2655219644322,507.4056929562257,500.762358334402
9,504.7486494325533,460.50852015410015,491.45610275883683,480.6546582072182
10,510.7537868805578,473.82218344294955,477.7667991502999,510.7874661895031
11,495.0285569224129,491.55995667609665,481.7332806469932,464.6617501898771
12,484.82538892547393,455.6586701124739,488.8555425987764,464.6617501898771
13,478.547780237354,475.492705719387,495.9104367075754,470.86389470289384
14,485.2130799366114,470.86389470289384,486.86432550285747,468.45190694153047
15,505.4423121819779,451.75342766839435,463.8461207341144,505.2826589675067
16,481.20233750511943,493.3758432318811,491.87488292887826,503.78667976416875
17,469.68617155079767,470.2215285349896,481.4744792532119,492.974618882682
18,508.26749041008844,508.8786997734095,487.33702647493124,480.621302680632
19,474.3406048188952,500.9902508259301,493.3758432318811,478.61572162983464
20,497.719335815264,476.71812075472667,475.9291943730231,506.9153189991617
21,477.52919440215123,501.4583893035431,459.58646151650544,491.45610275883683
22,502.479839971877,510.13179815484705,472.7451530110371,473.8902577956396
23,486.1801281636193,476.34069383240376,498.4506845858295,509.52270824448783
24,507.14696671226534,482.21665837586295,488.864414516366,491.87488292887826
25,488.864414516366,481.5179301174876,499.95742900054023,495.99395921278386
26,493.8950661513004,476.9077475429686,485.32141378902503,496.5163726993361
27,496.9380886704384,473.8029921298065,463.79764081418807,515.632825397242
28,488.2441919758477,488.2441919758477,509.3343153862487,505.64600640926244
29,497.9940482262924,489.93159636354403,490.0043978275829,501.4181166047788
30,475.4253940611959,479.2973672729741,513.0392198544207,458.4187273676517
31,479.2471995000871,475.492705719387,488.44239765893815,477.04719945471686
32,466.1382979084894,504.34389464115065,480.6546582072182,488.2441919758477
33,467.0236729607645,485.2130799366114,488.8555425987764,494.2931204586492
34,502.8762934082696,479.0783909667996,481.20233750511943,491.25189669356126
35,480.8218736682669,466.97664307787693,481.5179301174876,477.7667991502999
36,473.3919331815499,485.2130799366114,514.7172566683142,478.6372452288164
37,494.87108552851595,467.68749447313775,484.28195195696424,518.0924382280045
38,490.93568230529854,508.3829202320427,463.0207388913309,496.36067467446287
39,477.04719945471686,474.41163538499273,499.32314688456376,499.95742900054023
40,501.96375059247265,510.7874661895031,479.0861360321004,502.479839971877
41,507.855842810252,494.9747078961906,500.9902508259301,488.8555425987764
42,494.9747078961906,506.6347105966522,515.1941443944552,481.5788922765903
43,480.1777217984794,495.8236885813234,493.4561917723454,499.43141969946555
44,478.09758209195735,485.32141378902503,505.80614936813845,479.0783909667996
45,500.15687217657387,492.7471389901961,486.0735485520167,513.7722976320849
46,500.9902508259301,502.26375493462854,512.7538758940664,484.5609526366256
47,472.3016682415117,489.7509363905584,495.45598293840317,496.4873038115817
48,472.84311320987496,516.6458790983372,473.8029921298065,471.2679866432301
49,511.2299626201893,508.6422090089002,471.8101180891175,503.38701173356606
50,513.7371781633013,473.14283825817864,480.8218736682669,493.9550226354004
51,462.2709941674695,504.1392619945517,466.50213018881163,496.4873038115817
52,455.1112336951498,489.41716618145335,485.2130799366114,448.46873318379073
53,496.1887676925898,473.14283825817864,493.5500843464162,470.67246978604396
54,483.7722172243767,505.1829758927702,494.87108552851595,484.28195195696424
55,493.3758432318811,483.7722172243767,490.5764955663651,486.0735485520167
56,476.5355819233126,486.0735485520167,496.5163726993361,476.5355819233126
57,495.99395921278386,496.951225235038,486.86432550285747,501.4583893035431
58,505.64600640926244,498.440814380985,508.6422090089002,500.47975095836847
59,486.5467504249975,480.6546582072182,482.65474722072673,481.20233750511943
60,520.9702486495836,490.3681385141675,493.4561917723454,480.621302680632
61,501.1081499553154,488.2441919758477,452.67670180010765,479.2973672729741
62,492.44827822068964,480.6546582072182,518.2077766593695,494.9734609855036
63,494.9747078961906,492.7471389901961,485.81252007963843,502.479839971877
64,489.41716618145335,491.9316853770526,511.6157977889512,462.72908299861365
65,496.4873038115817,498.8667111004614,455.90273394668407,493.9550226354004
66,466.8767803748856,481.08622504560896,498.8667111004614,498.440814380985
67,472.7451530110371,509.79891955815697,491.87488292887826,477.52919440215123
68,473.8902577956396,496.9380886704384,492.44827822068964,481.4744792532119
69,498.3508457440922,474.41163538499273,493.8950661513004,506.9153189991617
70,469.68617155079767,486.36209166348635,464.6617501898771,472.7451530110371
71,464.33148676498064,475.47207288807203,480.621302680632,485.2987489171755
72,474.41163538499273,467.68749447313775,497.4949195157867,469.0973432193991
73,486.86432550285747,491.8687055723416,481.4744792532119,471.8101180891175
74,491.25189669356126,509.2865058865003,483.0424365127804,466.50213018881163
75,491.8687055723416,477.734603584696,510.3463010062905,494.23672813614303
76,489.08125326973027,485.81252007963843,490.2111666296347,500.3793070158525
77,483.8529857075032,495.4195725465932,499.2438422105568,500.47975095836847
78,484.28195195696424,473.8902577956396,467.5155281269667,480.1777217984794
79,479.2973672729741,493.4561917723454,509.7514900441926,494.4872147980731
80,485.81252007963843,493.8950661513004,475.492705719387,498.99016181242155
81,473.3919331815499,506.3718431761478,466.7690286227685,505.64600640926244
82,506.9153189991617,454.29328654543053,484.5609526366256,482.65474722072673
83,503.9638396059812,489.41716618145335,473.82218344294955,482.74524921895187
84,484.2167473893715,470.7062164336536,471.582429285293,487.3215028025336
85,493.9550226354004,498.99016181242155,486.0735485520167,461.43228229741237
86,497.1992003462439,498.99016181242155,490.3681385141675,484.5609526366256
87,476.23009641228754,489.93159636354403,496.5163726993361,477.5110094654555
88,476.9077475429686,484.97822824987975,518.9540993731543,492.06608471231203
