Time(Iteration),UCB1,egreedy_0.1,LinUCB,IMFB
0,935.0,944.0,949.0,938.0
1,918.0,923.0,940.0,939.0
2,944.0,938.0,940.0,956.0
3,956.0,920.0,940.0,947.0
4,943.0,938.0,940.0,949.0
5,944.0,940.0,956.0,948.0
6,960.0,951.0,939.0,938.0
7,956.0,926.0,938.0,935.0
8,947.0,944.0,936.0,936.0
9,935.0,935.0,938.0,948.0
10,953.0,937.0,943.0,938.0
11,948.0,939.0,955.0,963.0
12,957.0,931.0,938.0,937.0
13,957.0,940.0,948.0,942.0
14,949.0,952.0,948.0,956.0
15,953.0,950.0,953.0,945.0
16,943.0,932.0,935.0,950.0
17,949.0,949.0,943.0,947.0
18,956.0,950.0,939.0,933.0
19,963.0,949.0,935.0,943.0
20,952.0,948.0,936.0,947.0
21,958.0,943.0,940.0,939.0
22,941.0,948.0,949.0,935.0
23,953.0,938.0,930.0,953.0
24,954.0,936.0,947.0,943.0
25,945.0,953.0,956.0,947.0
26,947.0,940.0,940.0,940.0
27,953.0,939.0,951.0,953.0
28,942.0,942.0,950.0,947.0
29,944.0,942.0,935.0,949.0
30,949.0,934.0,927.0,948.0
31,954.0,933.0,945.0,960.0
32,949.0,946.0,923.0,950.0
33,946.0,938.0,941.0,952.0
34,947.0,948.0,953.0,951.0
35,954.0,946.0,953.0,948.0
36,945.0,958.0,950.0,948.0
37,962.0,948.0,945.0,953.0
38,948.0,947.0,953.0,954.0
39,955.0,947.0,940.0,955.0
40,945.0,939.0,950.0,957.0
41,947.0,945.0,943.0,943.0
42,945.0,943.0,933.0,958.0
43,948.0,932.0,944.0,945.0
44,954.0,951.0,946.0,959.0
45,958.0,947.0,933.0,952.0
46,952.0,943.0,949.0,953.0
47,949.0,939.0,933.0,937.0
48,947.0,940.0,942.0,950.0
49,961.0,947.0,942.0,952.0
50,942.0,947.0,942.0,954.0
51,953.0,930.0,949.0,946.0
52,954.0,940.0,942.0,949.0
53,949.0,948.0,946.0,946.0
54,947.0,950.0,942.0,949.0
55,952.0,943.0,944.0,944.0
56,947.0,943.0,950.0,945.0
57,957.0,939.0,953.0,946.0
58,960.0,950.0,936.0,957.0
59,940.0,952.0,967.0,961.0
60,949.0,944.0,934.0,953.0
61,947.0,944.0,948.0,945.0
62,955.0,952.0,949.0,944.0
63,941.0,941.0,948.0,954.0
64,959.0,942.0,951.0,958.0
65,946.0,943.0,947.0,946.0
66,956.0,949.0,954.0,940.0
67,953.0,949.0,954.0,939.0
68,948.0,947.0,941.0,939.0
69,936.0,949.0,942.0,955.0
70,948.0,934.0,949.0,949.0
71,937.0,949.0,945.0,953.0
72,950.0,950.0,955.0,931.0
73,944.0,940.0,952.0,943.0
74,954.0,927.0,939.0,947.0
75,949.0,959.0,940.0,951.0
76,959.0,931.0,954.0,944.0
77,942.0,941.0,944.0,950.0
78,943.0,944.0,944.0,938.0
79,943.0,954.0,942.0,939.0
80,952.0,944.0,952.0,953.0
81,952.0,948.0,946.0,947.0
82,952.0,948.0,942.0,939.0
83,940.0,937.0,938.0,953.0
84,954.0,950.0,951.0,955.0
85,945.0,944.0,953.0,943.0
86,943.0,942.0,947.0,942.0
87,953.0,940.0,945.0,959.0
88,943.0,935.0,944.0,949.0
89,944.0,952.0,950.0,942.0
90,948.0,933.0,951.0,946.0
91,960.0,940.0,936.0,946.0
92,955.0,949.0,936.0,959.0
93,953.0,945.0,939.0,949.0
94,956.0,940.0,939.0,956.0
95,945.0,955.0,957.0,947.0
96,943.0,938.0,941.0,935.0
97,945.0,939.0,932.0,952.0
98,956.0,950.0,949.0,945.0
99,943.0,945.0,939.0,941.0
100,956.0,948.0,946.0,949.0
101,953.0,941.0,940.0,953.0
102,958.0,932.0,931.0,952.0
103,953.0,951.0,950.0,960.0
104,962.0,957.0,945.0,939.0
105,944.0,952.0,956.0,942.0
106,950.0,950.0,956.0,949.0
107,932.0,949.0,940.0,948.0
108,942.0,941.0,943.0,939.0
109,952.0,935.0,935.0,958.0
110,950.0,939.0,938.0,944.0
111,949.0,957.0,948.0,953.0
112,947.0,960.0,938.0,938.0
113,945.0,953.0,938.0,950.0
114,949.0,953.0,950.0,960.0
115,953.0,951.0,942.0,941.0
116,959.0,942.0,957.0,945.0
117,954.0,950.0,932.0,960.0
118,953.0,926.0,944.0,954.0
119,947.0,949.0,936.0,946.0
120,956.0,941.0,941.0,965.0
121,950.0,931.0,945.0,952.0
122,962.0,941.0,941.0,961.0
123,942.0,937.0,954.0,943.0
124,965.0,942.0,941.0,954.0
125,949.0,958.0,958.0,950.0
126,966.0,938.0,948.0,946.0
127,961.0,941.0,942.0,929.0
128,960.0,940.0,943.0,957.0
129,940.0,939.0,958.0,942.0
130,957.0,932.0,943.0,936.0
131,965.0,933.0,942.0,939.0
132,945.0,948.0,946.0,940.0
133,951.0,921.0,938.0,959.0
134,944.0,947.0,945.0,957.0
135,944.0,941.0,942.0,941.0
136,949.0,945.0,941.0,952.0
137,953.0,943.0,939.0,944.0
138,950.0,933.0,935.0,955.0
139,953.0,945.0,940.0,931.0
140,947.0,935.0,944.0,941.0
141,949.0,931.0,938.0,938.0
142,955.0,943.0,948.0,949.0
143,957.0,942.0,943.0,947.0
144,944.0,935.0,944.0,951.0
145,951.0,938.0,940.0,952.0
146,939.0,951.0,945.0,946.0
147,964.0,950.0,949.0,946.0
148,952.0,953.0,954.0,948.0
149,959.0,930.0,952.0,941.0
150,953.0,947.0,951.0,948.0
151,945.0,940.0,942.0,953.0
152,935.0,947.0,945.0,943.0
153,953.0,950.0,947.0,958.0
154,950.0,939.0,954.0,953.0
155,952.0,926.0,945.0,938.0
156,954.0,950.0,952.0,952.0
157,954.0,948.0,946.0,952.0
158,941.0,937.0,958.0,962.0
159,951.0,934.0,952.0,956.0
160,946.0,951.0,930.0,947.0
161,951.0,946.0,946.0,958.0
162,952.0,944.0,953.0,958.0
163,943.0,937.0,949.0,944.0
164,952.0,936.0,940.0,944.0
165,940.0,947.0,950.0,948.0
166,953.0,956.0,954.0,940.0
167,954.0,954.0,944.0,955.0
168,954.0,950.0,941.0,952.0
169,938.0,947.0,942.0,934.0
170,943.0,953.0,940.0,948.0
171,939.0,947.0,950.0,938.0
172,948.0,941.0,930.0,954.0
173,945.0,926.0,940.0,941.0
174,948.0,937.0,945.0,954.0
175,960.0,947.0,946.0,960.0
176,954.0,943.0,943.0,956.0
177,958.0,952.0,948.0,946.0
178,954.0,943.0,947.0,943.0
179,958.0,939.0,943.0,953.0
180,949.0,944.0,958.0,959.0
181,949.0,938.0,940.0,947.0
182,953.0,941.0,953.0,941.0
183,938.0,941.0,952.0,944.0
184,953.0,950.0,948.0,958.0
185,952.0,940.0,952.0,951.0
186,950.0,921.0,938.0,939.0
187,951.0,940.0,945.0,941.0
188,953.0,944.0,946.0,958.0
189,942.0,949.0,948.0,951.0
190,948.0,950.0,949.0,950.0
191,951.0,942.0,940.0,935.0
192,949.0,943.0,940.0,955.0
193,964.0,957.0,944.0,946.0
194,952.0,931.0,945.0,953.0
195,951.0,941.0,954.0,946.0
196,947.0,946.0,950.0,949.0
197,947.0,948.0,949.0,947.0
198,943.0,950.0,954.0,949.0
199,951.0,950.0,943.0,956.0
