Time(Iteration),UCB1,egreedy_0.1,LinUCB,IMFB
0,1893.8303360237196,1878.910618877569,1936.8530073452798,1929.7433850111547
1,1910.9501137316981,1902.4949901424852,1922.337201465361,1919.2731302222032
2,1902.6044344088957,1905.6495234417532,1906.7296229830597,1897.3427507843323
3,1903.6377148494291,1906.814701007579,1913.0130919647297,1903.6060229634934
4,1905.64793686782,1892.072546766349,1917.208231890878,1915.0524007018282
5,1919.3559602960474,1900.3784043007338,1921.3550654212727,1916.870388447428
6,1917.261224302115,1907.5599235120617,1916.193275562893,1918.3093084483742
7,1901.4198059855362,1922.4517777957335,1916.165427415263,1922.3489464606462
8,1928.6865612286117,1927.6871271208825,1903.6327205655155,1900.169345474599
9,1901.5221038611644,1905.5715399100504,1932.8154290471405,1927.5968319702358
10,1913.0277882627345,1925.5668646675003,1929.6573975358478,1919.3561231755132
11,1920.2827310424573,1908.853486160706,1932.8129954722726,1904.6848281139858
12,1897.0186718682953,1910.8327870432765,1935.9618029207188,1905.669654356703
13,1930.772185918161,1913.0439258382385,1926.5623674886594,1893.1443630460656
14,1926.552934260981,1918.2831945147786,1920.3035771134253,1903.551151100388
15,1925.5812585699832,1901.5189910299457,1907.7450569127996,1920.3388044939657
16,1913.0772075354846,1928.714057543379,1925.5628055476147,1905.6929638413558
17,1931.8015130088688,1920.3549187914211,1919.2179069060578,1931.5357894222109
18,1933.8896405761718,1920.3277475736554,1924.3987001882474,1923.5341308291797
19,1931.7583188400408,1929.7208704741784,1912.0148183043834,1912.966044020808
20,1919.2579381705452,1915.0593398186259,1908.9029361185721,1918.3006255061853
21,1924.5742993495762,1907.7787210261456,1910.954075156944,1911.9565146586704
22,1926.5979010314359,1921.4492945184008,1904.6634994975077,1920.33964266282
23,1929.7323853634678,1920.224341860924,1902.59096444622,1922.3804578579447
24,1918.3034208302256,1907.7748152863612,1935.9466835963515,1902.548177512799
25,1931.786919476512,1918.0758231215532,1933.8447041040947,1915.0421930582804
26,1926.5782296093355,1908.892763804891,1929.6937061532599,1916.2288289524424
27,1919.312844602886,1926.606045860618,1926.3338593830283,1929.672071470789
28,1918.1746272463677,1928.6227459923443,1920.4141484326015,1909.8330658618477
29,1935.9387540678017,1898.2547021503558,1925.512298531622,1926.5367565781314
30,1930.7489980484709,1928.6390814067383,1943.1638686512974,1910.7822855655616
31,1910.924907660346,1925.4120855577528,1922.4061291164196,1916.2043354560246
32,1918.295443949206,1903.4576556564405,1921.292021105449,1909.8299951134068
33,1937.999987637052,1919.3338526915627,1924.5156865684578,1928.5653767234314
34,1916.1954582452788,1905.5765955528425,1911.9911947619855,1920.3019935039001
35,1917.208231890878,1913.0649098171114,1915.1062393605077,1925.6092711570252
36,1924.4598303954106,1918.1487754582186,1900.4590574931922,1908.8608883383915
37,1932.8609651915433,1918.2864743038779,1924.5740754569595,1919.2994782107496
38,1927.6661348910961,1937.916638218967,1920.2962356520793,1920.3633468882538
